user_id,is_view,is_cart,is_purchase,variant
306441847,1,0,0,A
321655812,1,0,0,B
348609428,1,0,0,A
351866718,1,0,0,A
362699320,1,0,0,B
370076704,1,0,0,B
372118107,1,0,0,A
372804920,1,0,0,A
372944259,1,0,0,A
386070015,1,1,0,A
388419369,1,0,0,A
389518481,1,0,0,B
390315979,1,0,0,A
391615981,1,0,0,A
393502154,1,0,0,B
396280559,1,0,0,B
398064317,1,0,0,A
400972610,1,0,0,A
403442482,1,0,0,B
409686912,1,0,0,B
414175028,1,0,0,A
414824833,1,0,0,B
418056247,1,0,0,B
418226573,1,0,0,B
418592979,1,0,0,B
420272729,1,0,0,B
420339201,1,0,0,A
421257570,1,0,0,A
424357361,1,0,0,B
426893282,1,0,0,A
428099415,1,0,0,A
429063384,1,0,0,B
429645007,1,0,0,A
433607201,1,0,0,A
434034973,1,0,0,B
434894256,1,0,0,A
435937863,1,0,0,A
437548958,1,0,0,A
437675804,1,0,0,B
438021619,1,0,0,B
438919966,1,0,0,B
439736599,1,0,0,B
439792996,1,0,0,A
439930751,1,0,0,A
441159632,1,0,0,A
441518854,1,0,0,B
442188017,1,0,0,A
443031949,1,0,0,A
443779465,1,0,0,A
444990139,1,0,0,B
445162060,1,0,0,B
445306726,1,0,0,B
447511517,1,0,0,A
448692971,1,0,0,A
448730751,1,0,0,B
449704476,1,0,0,A
450135541,1,0,0,B
450302971,1,0,0,B
450756413,1,0,0,A
451508091,1,0,0,A
452423191,1,0,0,A
452859779,1,1,0,A
453491587,1,0,0,B
453923391,1,0,0,A
455441109,1,0,0,B
455982073,1,0,0,A
456364940,1,0,0,A
456378411,1,0,0,A
456876723,1,0,0,A
457035150,1,0,0,B
457360398,1,1,1,A
457771506,1,0,0,B
458048132,1,0,0,B
458126552,1,0,0,B
459210378,1,0,0,B
459555560,1,0,0,A
460051480,1,0,0,B
460690368,1,0,0,A
461377451,1,0,0,A
461597049,1,0,0,A
462745712,1,0,0,B
463020196,1,0,0,B
463264821,1,0,0,B
463389113,1,0,0,A
463517957,1,0,0,B
463570586,1,0,0,A
464569119,1,0,0,A
464590906,1,0,0,B
464933860,1,0,0,B
465890492,1,0,0,B
466408238,1,0,0,B
466416731,1,0,0,B
466923158,1,0,0,B
467086592,1,0,0,A
469489529,1,0,0,B
469709208,1,0,0,B
471443827,1,0,0,B
471678665,1,0,0,A
471785689,1,0,0,A
472354580,1,0,0,B
472704676,1,0,0,A
472886914,1,0,0,B
473073417,1,0,0,B
473298706,1,0,0,A
473350684,1,0,0,A
473536891,1,0,0,B
474352339,1,0,0,A
474416987,1,0,0,B
474832046,1,0,0,A
474967396,1,0,0,B
475447854,1,0,0,B
475572904,1,0,0,A
475786534,1,0,0,A
476298587,1,0,0,A
476509207,1,0,0,A
476935833,1,0,0,A
477006909,1,0,0,B
477121012,1,0,0,B
477366703,1,1,1,A
477500496,1,0,0,A
478262868,1,0,0,B
478511914,1,0,0,A
478594344,1,0,0,B
478756812,1,0,0,B
478876800,1,0,0,A
478915595,1,0,0,A
479118894,1,0,0,A
479233261,1,0,0,A
479386042,1,0,0,B
480039451,1,0,0,B
480112030,1,0,0,B
480315463,1,0,0,B
480631967,1,0,0,A
480695906,1,0,0,A
480979152,1,0,0,A
481199938,1,0,0,A
481263361,1,0,0,A
481764679,1,0,0,A
482136003,1,0,0,A
482140205,1,0,0,B
482365564,1,0,0,B
482527581,1,0,0,A
482765682,1,0,0,A
483200258,1,0,0,A
483385884,1,0,0,A
483388283,1,0,0,B
483631512,1,0,0,A
484104478,1,0,0,A
484454684,1,0,0,B
484588540,1,0,0,A
484629232,1,0,0,B
484760693,1,0,0,A
484886573,1,0,0,B
485042717,1,0,0,A
485347702,1,0,0,B
485580346,1,0,0,A
485661816,1,0,0,B
486126757,1,0,0,A
486222257,1,0,0,A
486616816,1,0,0,B
486650497,1,0,0,B
487191665,1,0,0,B
487195764,1,0,0,A
487645161,1,0,0,B
487683064,1,0,0,A
488352205,1,0,0,B
488384726,1,0,0,B
488387664,1,0,0,B
488543887,1,0,0,A
489083956,1,0,0,B
489110084,1,0,0,A
489198768,1,0,0,A
489294047,1,0,0,B
489492092,1,0,0,A
489731475,1,0,0,B
489908877,1,0,0,B
489977266,1,0,0,A
490294183,1,0,0,B
490345568,1,0,0,A
490392606,1,0,0,B
490771357,1,0,0,A
490955891,1,0,0,B
491303749,1,0,0,B
491443705,1,0,0,B
491876464,1,0,0,B
491891282,1,0,0,A
492156844,1,0,0,B
492442977,1,0,0,A
492753325,1,0,0,A
492905279,1,0,0,A
493067652,1,0,0,A
493083658,1,0,0,B
493542913,1,0,0,B
494173546,1,0,0,B
494180593,1,0,0,A
494276946,1,0,0,A
494343527,1,0,0,A
494421092,1,0,0,B
494445837,1,0,0,B
494631302,1,0,0,A
494704166,1,0,0,A
494849726,1,0,0,B
495220531,1,0,0,B
495304966,1,0,0,A
495893739,1,0,0,A
496010626,1,0,0,A
496108087,1,0,0,A
496277011,1,0,0,B
496281986,1,0,0,A
496345201,1,0,0,A
496444159,1,0,0,A
496499945,1,0,0,A
496808326,1,0,0,A
496957381,1,0,0,B
497029671,1,0,0,A
497070817,1,0,0,A
497087183,1,0,0,A
497292318,1,0,0,B
497692930,1,0,0,B
497851127,1,0,0,B
497994221,1,0,0,B
498268993,1,0,0,A
498613329,1,0,0,A
498754300,1,0,0,B
498798267,1,0,0,A
499553335,1,0,0,B
499780697,1,0,0,B
499828339,1,0,0,A
499848213,1,0,0,B
500417217,1,0,0,B
500434597,1,0,0,A
500521935,1,0,0,B
500592171,1,0,0,B
500619862,1,0,0,A
501000290,1,0,0,B
501192468,1,0,0,B
501367490,1,0,0,A
501421513,1,0,0,A
501520882,1,0,0,B
501591148,1,0,0,B
501706174,1,0,0,B
501802447,1,0,0,A
502030334,1,0,0,A
502074984,1,0,0,A
502188184,1,0,0,A
502192710,1,0,0,B
502214171,1,0,0,A
502372361,1,0,0,B
502630319,1,0,0,A
502661377,1,0,0,B
502731204,1,0,0,B
502735120,1,0,0,B
502758777,1,0,0,B
502839414,1,0,0,A
502999612,1,0,0,A
503051219,1,0,0,B
503283510,1,0,0,A
503286678,1,0,0,A
503400013,1,0,0,B
503405650,1,0,0,B
503678467,1,0,0,B
503712613,1,0,0,A
503946138,1,0,0,A
504105065,1,0,0,A
504158030,1,0,0,A
